Annee,PIB,Tertiare,Agriculture,Industries d'extraction,Industrie alimentaire,Industrie chimique,Industrie du papier,Industrie non-metallique,Autres industries manufacturies,Batiment et travaux publics,Transport
2013.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014.0,1.0423938100207464,1.0323236755626854,1.0369526627367527,1.0312473531693058,1.0317590493878785,1.0299999967344742,1.0260167659527637,1.0700570892570078,1.0341625523056055,1.1319100450437676,1.0332538158555786
2015.0,1.0798580065186536,1.06509825476594,1.0759589567433199,1.0639907390896348,1.0668036952364177,1.06244499404089,1.0515866338789417,1.1035142118596657,1.0631605555872676,1.2155743629892855,1.0657810019401068
2016.0,1.113235111579581,1.0990172942640988,1.1148211436757642,1.0992366250990218,1.1040408564876463,1.097505677422944,1.0774942182062084,1.1396726986139325,1.0910955055564864,1.244718782945468,1.1009308265512738
2017.0,1.1586951967005097,1.1365344974489824,1.15712864165232,1.1371911442642846,1.142553856777115,1.1353696216921454,1.1049455419909362,1.1787254876433455,1.120688367681748,1.2959940092249933,1.138891300727244
2018.0,1.202581452348743,1.1763466310508242,1.2019622325252863,1.1781703406791808,1.1848125469025592,1.1762429262571747,1.1337361446417007,1.2208845739644483,1.152140324229647,1.341233985432083,1.1798690016981528
2019.0,1.2699513435771799,1.2212518064680986,1.2542770870512934,1.2223376896362423,1.2313039728286965,1.2203520323350037,1.1662497131715828,1.2663828773024863,1.186702499127367,1.3900650293672823,1.2240908977955467
2020.0,1.3091286551331898,1.2654876323783624,1.300266123181545,1.2699507272895298,1.275787843546894,1.267945761526475,1.195730948437972,1.3154763252427977,1.2212455101129132,1.4427589895401391,1.2718063823794945
2021.0,1.35372470158143,1.312751561720789,1.354197301186643,1.3214011385878024,1.327476650586148,1.3192975822509547,1.2313658274829484,1.3684461771990895,1.2600482337189085,1.4996145871488211,1.3232895441287615
2022.0,1.4164919359348127,1.3647180172532911,1.4101820041716282,1.3768781521152047,1.3819357966131731,1.374708080005802,1.2695298908263566,1.4256016180050832,1.3018152485990275,1.5609601464670373,1.3788416950550166
2023.0,1.4751190843085122,1.4192896559420973,1.47059649882191,1.4367166922307275,1.438190650332628,1.4345078557582358,1.3078440787371803,1.4872826537109474,1.3456026393974512,1.627156642565147,1.438794204299449
2024.0,1.5453776240224766,1.4790311340219695,1.5358051688274381,1.5012658125301546,1.4987700449338952,1.499060706887175,1.3501019911776038,1.5538633464555462,1.3931010256001497,1.6986011048722998,1.5035116628532144
2025.0,1.6172648549940951,1.5428940904101565,1.6062090307475425,1.5709058356256858,1.5626901568208846,1.568767027169579,1.3948800232987058,1.6257554301645802,1.446536451621012,1.7757304201669732,1.5733954024641166
2026.0,1.6880448564513757,1.611388975554849,1.6822496617157854,1.6461381684126282,1.6313011480838744,1.644067841548613,1.443645259569196,1.7034123543792548,1.5066477498683937,1.8590255843641699,1.6488874554377209
2027.0,1.7782027613931048,1.686671144830605,1.764413584931022,1.727441756655966,1.704818547026125,1.7254491968475838,1.4970989199078177,1.7873338098493257,1.5712450387034738,1.9490164590513381,1.730474974355864
2028.0,1.8618190690763297,1.766297188788725,1.8532371817442248,1.8152462954170037,1.7818474466792928,1.8134471030032135,1.5512713141068164,1.8780707967425507,1.6357859969201474,2.0462870962298743,1.818695184309113
2029.0,1.95885966760413,1.8538890105908097,1.9484275211056667,1.9102933267646827,1.8653745011331329,1.908653075718614,1.610860619478865,1.9762313045616413,1.7041410878479177,2.1514817032810813,1.9141409336979953
2030.0,2.0665024005225936,1.9483456385184614,2.0473195987497568,2.0130894122543705,1.9529546407403395,2.0117203417917553,1.6737751527014506,2.0824866822720742,1.7770704829890707,2.2653113299519747,2.0174669206007487
2031.0,2.172156861803729,2.0492766624183876,2.1510425128498336,2.1243927445778326,2.045838234806788,2.123370817100463,1.7403511011670914,2.1975787879056683,1.8549361775854938,2.3885613703289508,2.129396679979329
2032.0,2.289852239794409,2.15827272387452,2.263572252794703,2.2450325041310113,2.1453120155412764,2.2444029507532397,1.812655125195694,2.3223280192193267,1.939252227464272,2.522099985546171,2.25073043658302
2033.0,2.4261647977624254,2.2766742009470864,2.3855023052725275,2.3758525827324073,2.2514805706066205,2.375700519383586,1.890484703180787,2.4576423410915207,2.0305310395064677,2.6668875676035473,2.3823539276055854
2034.0,2.566161676086488,2.4038990280346035,2.514020652007388,2.5177895175565776,2.3639312799881305,2.51824254621567,1.9730016463186733,2.604527441504151,2.1285492085928874,2.823987381427919,2.525248336631333
2035.0,2.7168871941240007,2.5418477872081096,2.6519814695175183,2.671953987973557,2.4838775828843276,2.67311445825435,2.0621662867961534,2.7640981665010096,2.2345488458795666,2.994577541526573,2.680501474141295
2036.0,2.887346956890448,2.6921516053203427,2.801735259099459,2.8395545002559683,2.6125418847508546,2.841520664252491,2.1588057446878888,2.9375914058037944,2.349666159202274,3.179964501632996,2.8493203802660347
2037.0,3.057305111165622,2.8536623636888416,2.958621527878373,3.021827697825838,2.748376934803388,3.0247987419124582,2.261428260241341,3.1263806252292246,2.4733705934843235,3.3815982610698727,3.0330455399521488
2038.0,3.255561817187501,3.0307562435987485,3.130542405539592,3.2203876198126404,2.8954089770796876,3.2244354537390274,2.3742245714502546,3.3319922701824343,2.608970279768324,3.601089520664051,3.233166929589389
2039.0,3.460220174948286,3.229298572190422,3.311184107067351,3.4367007988282157,3.051629462285266,3.442084844280271,2.4976893919532497,3.556124296879466,2.755525588007878,3.8402290545357216,3.451342151109827
2040.0,3.690241667278091,3.4344814576265543,3.5086905573729075,3.6726605371448606,3.219307776310255,3.679588692155902,2.6266007043765702,3.800667125247148,2.915411610111544,4.10100960263962,3.6894169209591823
2041.0,3.9311276127596186,3.654034620624839,3.71889441901156,3.930212629348818,3.3979600391359215,3.938999688094383,2.762924321312223,4.0677273504445735,3.088644868654102,4.385650633363592,3.9494482957811696
2042.0,4.19619939491785,3.8939777227744625,3.9452597849750766,4.211689111445054,3.5892549205349695,4.22260764540875,2.910891791641967,4.359654599559362,3.2773107062768654,4.69662637672612,4.233730943870727
2043.0,4.478195857592225,4.1403153106400366,4.19014857804988,4.519654749644274,3.7946278946438357,4.492400887697005,3.0654154814558066,4.679071977318881,3.4831050862923756,5.036697587852266,4.544826951261514
2044.0,4.789763613277894,4.447646768745512,4.450333650505677,4.857137721425173,4.015501070315496,4.703995178579643,3.2422256800432985,5.028910610865395,3.706371785898025,5.408947568722536,4.885599640809801
2045.0,5.130006821783788,4.754474078644126,4.733726313989667,5.101134633212579,4.251960021073439,4.918082816993617,3.418652444502415,5.401122279698394,3.935791063351149,5.816823055171898,5.25925198340658
2046.0,5.486952760989182,5.084512311824374,5.040549662594808,5.345791211010507,4.505365762378677,5.1439059395043945,3.609067051007149,5.788235704613192,4.183422969104464,6.264180667509137,5.669369308672275
2047.0,5.868386193782081,5.443149786305393,5.377597917373919,5.601393878171994,4.779090652225844,5.37811146687837,3.8106124929678287,6.211673823928034,4.417392607714755,6.755339728969425,6.1199709731179395
2048.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2049.0,6.730905243962803,6.232639057116649,6.113883266580944,6.245056373107199,5.384061052995908,5.870962921664389,4.257971905555542,7.182615140487043,4.933822184408336,7.8890220498459005,6.945405795209898
2050.0,6.484182199420737,5.448338012618744,6.487768236630181,6.3322952094257365,5.6806645159702525,6.0533307324918,4.138445298527727,7.712421555175929,5.178173109702564,8.543081543123076,7.113220777647827
